,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
204,72,22,6/8/23 0:00,120,X04,X03,6/8/23 19:58,6/8/23 20:10,6/8/23 19:58,6/8/23 20:10,11.85,11.883333333333333
205,73,22,6/8/23 0:00,120,X04,X03,6/8/23 22:44,6/8/23 22:55,6/8/23 22:40,6/8/23 22:55,11.083333333333334,14.466666666666667
206,74,22,6/8/23 0:00,120,X04,X03,6/8/23 23:38,6/8/23 23:50,6/8/23 23:38,6/8/23 23:51,12.116666666666667,12.683333333333334
207,75,23,6/10/23 0:00,235,X03,X04,6/10/23 18:14,6/10/23 18:27,6/10/23 18:15,6/10/23 18:23,12.666666666666666,8.55
208,76,23,6/10/23 0:00,235,X03,X04,6/10/23 20:38,6/10/23 20:46,6/10/23 20:45,6/10/23 20:46,8.383333333333333,0.65
209,77,23,6/10/23 0:00,235,X03,X04,6/10/23 21:09,6/10/23 21:16,6/10/23 21:09,6/10/23 21:12,7.016666666666667,2.6166666666666667
210,78,23,6/10/23 0:00,235,X03,X04,6/10/23 23:14,6/10/23 23:24,6/10/23 23:14,6/10/23 23:24,9.983333333333333,10.033333333333333
211,79,23,6/10/23 0:00,235,X03,X04,6/10/23 23:49,6/10/23 23:53,6/10/23 23:48,6/10/23 23:54,4,5.616666666666666
212,80,23,6/10/23 0:00,235,X03,X04,6/11/23 1:15,6/11/23 1:25,6/11/23 1:13,6/11/23 1:19,9.466666666666667,6.383333333333334
213,81,23,6/10/23 0:00,235,X03,X04,6/11/23 1:38,6/11/23 1:46,6/11/23 1:51,6/11/23 1:52,7.35,1.85
214,75,23,6/10/23 0:00,350,X10,X06,6/10/23 18:14,6/10/23 18:27,6/10/23 18:14,6/10/23 18:27,12.65,12.633333333333333
215,76,23,6/10/23 0:00,350,X10,X06,6/10/23 20:37,6/10/23 20:46,6/10/23 20:32,6/10/23 20:46,9.15,14.083333333333334
216,77,23,6/10/23 0:00,350,X10,X06,6/10/23 21:09,6/10/23 21:16,6/10/23 21:09,6/10/23 21:16,6.9,6.866666666666666
217,78,23,6/10/23 0:00,350,X10,X06,6/10/23 23:14,6/10/23 23:27,6/10/23 23:14,6/10/23 23:27,12.333333333333334,12.333333333333334
218,79,23,6/10/23 0:00,350,X10,X06,6/10/23 23:41,6/10/23 23:54,6/10/23 23:41,6/10/23 23:54,12.65,12.683333333333334
