,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
160,61,2023-05-30,18,Ac,7,235,2023-05-30 19:46:00,2023-05-30 20:00:00,2023-05-31 01:46:00,2023-05-31 02:00:00,X01,X10
161,55,2023-05-30,18,Cb,1,120,2023-05-30 12:36:00,2023-05-30 12:55:00,2023-05-30 18:36:00,2023-05-30 18:55:00,X04,X07
162,56,2023-05-30,18,Cb,2,120,2023-05-30 16:14:00,2023-05-30 16:35:00,2023-05-30 22:14:00,2023-05-30 22:35:00,X07,X04
163,57,2023-05-30,18,Cb,3,120,2023-05-30 16:57:00,2023-05-30 17:19:00,2023-05-30 22:57:00,2023-05-30 23:19:00,X07,X04
164,58,2023-05-30,18,Cb,4,120,2023-05-30 17:38:00,2023-05-30 17:55:00,2023-05-30 23:38:00,2023-05-30 23:55:00,X07,X04
165,59,2023-05-30,18,Cb,5,120,2023-05-30 18:14:00,2023-05-30 18:32:00,2023-05-31 00:14:00,2023-05-31 00:32:00,X07,X04
166,60,2023-05-30,18,Cb,6,120,2023-05-30 19:15:00,2023-05-30 19:32:00,2023-05-31 01:15:00,2023-05-31 01:32:00,X07,X04
167,61,2023-05-30,18,Cb,7,120,2023-05-30 19:46:00,2023-05-30 20:00:00,2023-05-31 01:46:00,2023-05-31 02:00:00,X07,X04
168,62,2023-06-01,19,Cb,1,120,2023-06-01 12:46:00,2023-06-01 13:06:00,2023-06-01 18:46:00,2023-06-01 19:06:00,X09,X01
169,63,2023-06-01,19,Cb,2,120,2023-06-01 13:11:00,2023-06-01 13:32:00,2023-06-01 19:11:00,2023-06-01 19:32:00,X09,X01
170,64,2023-06-01,19,Cb,3,120,2023-06-01 13:41:00,2023-06-01 14:01:00,2023-06-01 19:41:00,2023-06-01 20:01:00,X09,X01
171,65,2023-06-01,19,Cb,4,120,2023-06-01 16:55:00,2023-06-01 17:12:00,2023-06-01 22:55:00,2023-06-01 23:12:00,X09,X01
172,66,2023-06-01,19,Cb,5,120,2023-06-01 18:07:00,2023-06-01 18:32:00,2023-06-02 00:07:00,2023-06-02 00:32:00,X09,X01
173,62,2023-06-01,19,Ac,1,235,2023-06-01 12:46:00,2023-06-01 13:05:00,2023-06-01 18:46:00,2023-06-01 19:05:00,X04,X07
